Image_Resolution,Kernel_Size,Test_Type,Num_Threads,Total_Time_ms,Computation_Time_ms,Transfer_Time_ms,Speedup
512x512,3x3,Sequential,0,40.661,40.661,0.000,1.000
512x512,3x3,CUDA_Global,0,1.251,0.479,0.772,32.503
512x512,3x3,CUDA_Constant,0,1.203,0.448,0.755,33.800
512x512,3x3,CUDA_Shared,0,1.375,0.474,0.901,29.572
512x512,3x3,OpenMP,2,23.317,23.317,0.000,1.744
512x512,3x3,OpenMP,4,15.797,15.797,0.000,2.574
512x512,3x3,OpenMP,8,17.013,17.013,0.000,2.390
512x512,5x5,Sequential,0,122.708,122.708,0.000,1.000
512x512,5x5,CUDA_Global,0,1.137,0.465,0.672,107.923
512x512,5x5,CUDA_Constant,0,1.108,0.470,0.638,110.747
512x512,5x5,CUDA_Shared,0,1.349,0.561,0.788,90.962
512x512,5x5,OpenMP,2,44.250,44.250,0.000,2.773
512x512,5x5,OpenMP,4,31.759,31.759,0.000,3.864
512x512,5x5,OpenMP,8,26.073,26.073,0.000,4.706
512x512,7x7,Sequential,0,163.098,163.098,0.000,1.000
512x512,7x7,CUDA_Global,0,1.339,0.639,0.700,121.806
512x512,7x7,CUDA_Constant,0,1.364,0.575,0.789,119.573
512x512,7x7,CUDA_Shared,0,1.681,0.738,0.943,97.024
512x512,7x7,OpenMP,2,94.073,94.073,0.000,1.734
512x512,7x7,OpenMP,4,67.169,67.169,0.000,2.428
512x512,7x7,OpenMP,8,43.181,43.181,0.000,3.777
768x768,3x3,Sequential,0,82.666,82.666,0.000,1.000
768x768,3x3,CUDA_Global,0,1.861,0.430,1.431,44.420
768x768,3x3,CUDA_Constant,0,1.633,0.289,1.344,50.622
768x768,3x3,CUDA_Shared,0,1.855,0.464,1.391,44.564
768x768,3x3,OpenMP,2,39.549,39.549,0.000,2.090
768x768,3x3,OpenMP,4,33.585,33.585,0.000,2.461
768x768,3x3,OpenMP,8,31.230,31.230,0.000,2.647
768x768,5x5,Sequential,0,183.256,183.256,0.000,1.000
768x768,5x5,CUDA_Global,0,2.325,0.741,1.584,78.820
768x768,5x5,CUDA_Constant,0,1.966,0.523,1.443,93.213
768x768,5x5,CUDA_Shared,0,2.587,1.109,1.478,70.837
768x768,5x5,OpenMP,2,93.294,93.294,0.000,1.964
768x768,5x5,OpenMP,4,57.095,57.095,0.000,3.210
768x768,5x5,OpenMP,8,45.553,45.553,0.000,4.023
768x768,7x7,Sequential,0,288.239,288.239,0.000,1.000
768x768,7x7,CUDA_Global,0,2.577,1.026,1.551,111.851
768x768,7x7,CUDA_Constant,0,2.390,0.870,1.520,120.602
768x768,7x7,CUDA_Shared,0,2.709,1.194,1.515,106.401
768x768,7x7,OpenMP,2,176.571,176.571,0.000,1.632
768x768,7x7,OpenMP,4,161.178,161.178,0.000,1.788
768x768,7x7,OpenMP,8,88.921,88.921,0.000,3.242
1024x1024,3x3,Sequential,0,118.706,118.706,0.000,1.000
1024x1024,3x3,CUDA_Global,0,3.617,1.082,2.535,32.819
1024x1024,3x3,CUDA_Constant,0,2.779,0.396,2.383,42.715
1024x1024,3x3,CUDA_Shared,0,3.253,0.620,2.633,36.491
1024x1024,3x3,OpenMP,2,73.529,73.529,0.000,1.614
1024x1024,3x3,OpenMP,4,49.232,49.232,0.000,2.411
1024x1024,3x3,OpenMP,8,38.288,38.288,0.000,3.100
1024x1024,5x5,Sequential,0,288.488,288.488,0.000,1.000
1024x1024,5x5,CUDA_Global,0,3.143,0.870,2.273,91.787
1024x1024,5x5,CUDA_Constant,0,3.021,0.753,2.268,95.494
1024x1024,5x5,CUDA_Shared,0,3.731,1.178,2.553,77.322
1024x1024,5x5,OpenMP,2,166.952,166.952,0.000,1.728
1024x1024,5x5,OpenMP,4,92.742,92.742,0.000,3.111
1024x1024,5x5,OpenMP,8,76.888,76.888,0.000,3.752
1024x1024,7x7,Sequential,0,477.986,477.986,0.000,1.000
1024x1024,7x7,CUDA_Global,0,4.565,2.014,2.551,104.707
1024x1024,7x7,CUDA_Constant,0,4.222,1.277,2.945,113.213
1024x1024,7x7,CUDA_Shared,0,4.347,1.989,2.358,109.958
1024x1024,7x7,OpenMP,2,277.070,277.070,0.000,1.725
1024x1024,7x7,OpenMP,4,180.536,180.536,0.000,2.648
1024x1024,7x7,OpenMP,8,134.674,134.674,0.000,3.549
1536x1536,3x3,Sequential,0,209.388,209.388,0.000,1.000
1536x1536,3x3,CUDA_Global,0,6.048,1.012,5.036,34.621
1536x1536,3x3,CUDA_Constant,0,5.741,0.754,4.987,36.472
1536x1536,3x3,CUDA_Shared,0,6.197,1.220,4.977,33.789
1536x1536,3x3,OpenMP,2,163.380,163.380,0.000,1.282
1536x1536,3x3,OpenMP,4,99.910,99.910,0.000,2.096
1536x1536,3x3,OpenMP,8,84.641,84.641,0.000,2.474
1536x1536,5x5,Sequential,0,573.731,573.731,0.000,1.000
1536x1536,5x5,CUDA_Global,0,6.983,1.677,5.306,82.161
1536x1536,5x5,CUDA_Constant,0,6.502,1.538,4.964,88.239
1536x1536,5x5,CUDA_Shared,0,7.840,2.444,5.396,73.180
1536x1536,5x5,OpenMP,2,365.203,365.203,0.000,1.571
1536x1536,5x5,OpenMP,4,227.032,227.032,0.000,2.527
1536x1536,5x5,OpenMP,8,178.968,178.968,0.000,3.206
1536x1536,7x7,Sequential,0,1061.580,1061.580,0.000,1.000
1536x1536,7x7,CUDA_Global,0,38.604,26.783,11.821,27.499
1536x1536,7x7,CUDA_Constant,0,49.262,36.285,12.977,21.550
1536x1536,7x7,CUDA_Shared,0,108.178,98.945,9.233,9.813
1536x1536,7x7,OpenMP,2,635.786,635.786,0.000,1.670
1536x1536,7x7,OpenMP,4,403.543,403.543,0.000,2.631
1536x1536,7x7,OpenMP,8,296.194,296.194,0.000,3.584
2048x2048,3x3,Sequential,0,390.333,390.333,0.000,1.000
2048x2048,3x3,CUDA_Global,0,14.202,4.396,9.806,27.484
2048x2048,3x3,CUDA_Constant,0,14.631,4.731,9.900,26.678
2048x2048,3x3,CUDA_Shared,0,19.381,9.821,9.560,20.140
2048x2048,3x3,OpenMP,2,258.675,258.675,0.000,1.509
2048x2048,3x3,OpenMP,4,169.337,169.337,0.000,2.305
2048x2048,3x3,OpenMP,8,157.389,157.389,0.000,2.480
2048x2048,5x5,Sequential,0,970.429,970.429,0.000,1.000
2048x2048,5x5,CUDA_Global,0,34.806,22.354,12.452,27.881
2048x2048,5x5,CUDA_Constant,0,41.090,26.026,15.064,23.617
2048x2048,5x5,CUDA_Shared,0,64.291,50.120,14.171,15.094
2048x2048,5x5,OpenMP,2,594.972,594.972,0.000,1.631
2048x2048,5x5,OpenMP,4,385.537,385.537,0.000,2.517
2048x2048,5x5,OpenMP,8,313.761,313.761,0.000,3.093
2048x2048,7x7,Sequential,0,1733.844,1733.844,0.000,1.000
2048x2048,7x7,CUDA_Global,0,163.268,138.985,24.283,10.620
2048x2048,7x7,CUDA_Constant,0,18.808,7.010,11.798,92.187
2048x2048,7x7,CUDA_Shared,0,16.537,7.856,8.681,104.846
2048x2048,7x7,OpenMP,2,1069.682,1069.682,0.000,1.621
2048x2048,7x7,OpenMP,4,711.908,711.908,0.000,2.435
2048x2048,7x7,OpenMP,8,540.291,540.291,0.000,3.209
8192x8192,3x3,Sequential,0,6248.293,6248.293,0.000,1.000
8192x8192,3x3,CUDA_Global,0,281.201,36.699,244.502,22.220
8192x8192,3x3,CUDA_Constant,0,158.874,17.720,141.154,39.329
8192x8192,3x3,CUDA_Shared,0,176.519,32.085,144.434,35.397
8192x8192,3x3,OpenMP,2,4065.984,4065.984,0.000,1.537
8192x8192,3x3,OpenMP,4,2804.588,2804.588,0.000,2.228
8192x8192,3x3,OpenMP,8,2326.168,2326.168,0.000,2.686
8192x8192,5x5,Sequential,0,15286.860,15286.860,0.000,1.000
8192x8192,5x5,CUDA_Global,0,465.777,214.608,251.169,32.820
8192x8192,5x5,CUDA_Constant,0,170.411,42.372,128.039,89.706
8192x8192,5x5,CUDA_Shared,0,198.169,67.362,130.807,77.141
8192x8192,5x5,OpenMP,2,9784.438,9784.438,0.000,1.562
8192x8192,5x5,OpenMP,4,6243.041,6243.041,0.000,2.449
8192x8192,5x5,OpenMP,8,4815.125,4815.125,0.000,3.175
8192x8192,7x7,Sequential,0,27672.644,27672.644,0.000,1.000
8192x8192,7x7,CUDA_Global,0,398.900,151.854,247.046,69.372
8192x8192,7x7,CUDA_Constant,0,195.471,69.371,126.100,141.569
8192x8192,7x7,CUDA_Shared,0,248.972,110.776,138.196,111.148
8192x8192,7x7,OpenMP,2,17862.290,17862.290,0.000,1.549
8192x8192,7x7,OpenMP,4,11303.202,11303.202,0.000,2.448
8192x8192,7x7,OpenMP,8,8575.861,8575.861,0.000,3.227
